movieNm,salesAcc,audiAcc,scrnCnt,showCnt,hasOriginal
컬러풀 웨딩즈,1315620680,171740,663,11369,1
나를 찾아줘,13871969731,1745972,2759,50239,1
우리는 형제입니다,7226027899,964549,1944,41227,0
레드카펫,2363032780,310915,1013,17039,0
보이후드,1205921365,156937,616,6462,0
나의 독재자,2884118046,382500,1502,23938,0
내가 잠들기 전에,281293300,35433,197,2356,0
인터스텔라,81333421000,10175922,7711,166919,0
패션왕,4295903079,583436,1383,24718,1
박스트롤,614725500,85150,548,2990,0
카트,5620080633,770962,1464,26437,0
아더 우먼,566531418,75340,653,6294,0
울브스,302326169,41975,554,4039,0
왓 이프,153096200,20183,137,1074,1
헝거게임: 모킹제이,6265471644,835938,1603,27725,1
퓨리,10275594586,1348948,1928,36227,1
아빠를 빌려드립니다,1082725900,153576,644,7747,0
부니 베어: 롤라 구출 대모험,167876700,23627,196,823,0
빅매치,8930390578,1174667,2028,38368,0
덤 앤 더머 투,1358560785,181132,683,8228,0
"님아, 그 강을 건너지 마오",36971343179,4746458,4112,90183,0
꾸뻬씨의 행복여행,666848383,89773,451,3839,0
엑소더스: 신들과 왕들,12338567726,1497026,2274,42829,0
덕수리 5형제,1525020500,201303,673,9931,0
사랑에 대한 모든 것,2010364046,258778,778,11993,0
"러브, 로지",2071272246,272550,745,11175,0
뽀로로 극장판 눈요정 마을 대모험,1083730600,216503,477,4684,0
국제시장,110503513230,14198690,8248,208594,0
호빗: 다섯 군대 전투,24103973685,2816638,2598,50278,1
기술자들,19443145183,2506515,1711,39970,0
상의원,5986545064,761853,902,15504,0
눈의 여왕 2: 트롤의 마법거울,4262462100,584282,830,7954,1
숲속으로,2054915488,267624,356,5525,1
일곱난쟁이,965720600,133411,263,1979,0
테이큰 3,15844320200,1973099,1694,37980,0
마다가스카의 펭귄,12402140459,1646782,1927,28000,0
개를 훔치는 완벽한 방법,1192351965,155810,205,3252,0
언브로큰,1594950692,202647,401,7227,0
패딩턴,2169741229,292537,783,8718,1
워킹걸,886869479,108449,308,4617,0
타임 패러독스,514666108,64837,232,2987,0
오늘의 연애,14824363987,1879010,2161,46172,0
허삼관,7289807069,939342,1530,26336,1
박물관이 살아있다 : 비밀의 무덤,8142413806,1097568,1603,29791,0
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,1262687200,178035,360,4145,0
아메리칸 스나이퍼,2080681338,257103,611,7274,0
강남 1970,17529262299,2166921,2634,52176,0
빅 히어로,21234266765,2700367,3084,58260,1
존 윅,746256537,92569,321,4636,0
엑스 마키나,449329263,55192,204,2539,0
내 심장을 쏴라,2741962832,371780,855,18817,0
워터 디바이너,749827235,101128,326,5338,0
더 이퀄라이저,488978900,62869,255,2919,0
빅 아이즈,423368235,55091,290,3147,0
쎄시봉,13419036411,1693215,2485,49851,0
주피터 어센딩,2230796279,253291,561,9669,0
센과 치히로의 행방불명,677277800,85317,339,2985,0
최강전사 미니특공대 : 새로운 악당의 습격,632761800,83630,318,1732,0
조선명탐정 : 사라진 놉의 딸,30172666328,3832898,2803,76169,1
킹스맨 : 시크릿 에이전트,50340621795,6126021,5718,139698,1
도라에몽 : 스탠 바이 미,3372986829,462056,1096,10843,0
오즈의 마법사: 돌아온 도로시,1644752900,223163,595,5051,0
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,1457079400,197187,347,3320,0
7번째 아들,595831251,74742,358,5693,0
이미테이션 게임,13488810520,1716576,2176,43837,0
스폰지밥 3D,2240348600,295863,657,6583,1
그레이의 50가지 그림자,2754981996,343628,934,17156,0
백 투 더 비기닝,1943564700,257025,769,12333,0
기생수 파트1,1375774085,166223,481,5687,1
순수의 시대,3583422128,447249,1064,21050,1
헬머니,4076978472,516818,1371,24178,0
버드맨,1448793100,178701,756,10264,0
세인트 빈센트,497154928,63024,308,3492,0
살인의뢰,6893791637,842282,1615,33821,0
채피,4587576454,569288,1355,24283,0
위플래쉬,12463876645,1564727,2619,54089,0
소셜포비아,1941197563,246722,942,14586,0
드래곤 블레이드,301679300,39439,264,2719,0
런 올 나이트,2286851495,288604,1062,15655,0
추억의 마니,175718200,22799,242,1797,0
스물,23472584186,3031466,3549,99078,0
인서전트,2095341089,274304,898,16788,1
분노의 질주: 더 세븐,26122627194,3206228,3868,92088,1
송 원,253716543,34132,365,3655,0
팔로우,204480543,24310,197,1893,0
윈드랜드,148559700,20418,240,984,0
장수상회,8574925443,1139592,2456,51336,0
화장,926836900,122332,646,11505,0
코블러,222363532,28415,250,2662,0
한 번 더 해피엔딩,212710051,27059,231,2530,0
엘리노어 릭비: 그 남자 그 여자,314566000,38896,414,3384,0
더 건맨,825864465,106371,681,9109,0
위자,558899535,71994,639,6047,0
유고와 라라: 하늘고래와 구름섬 대모험,279850600,38432,167,924,0
어벤져스: 에이지 오브 울트론,88385723466,10469221,7349,189859,1
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,1062451700,146852,958,4875,0
약장수,208194400,27559,282,2464,0
"땡큐, 대디",170357061,23487,241,1730,0
차이나타운,11948083867,1466767,1940,44436,1
위험한 상견례 2,3514139054,463764,1184,17489,0
다이노 타임,2029362300,273264,977,5996,0
노아의 방주: 남겨진 녀석들,1486773700,205424,790,4618,0
빌리와 용감한 녀석들 3,663375200,92946,641,3157,1
스틸 앨리스,786851646,102160,161,1767,1
언프렌디드: 친구삭제,1585363641,211732,711,8818,0
연애의 맛,1712212153,212691,949,12407,0
악의 연대기,17305012032,2184571,2723,63312,0
매드 맥스: 분노의 도로,32757720462,3825929,4018,98337,0
위아영,395087987,49418,457,4140,0
말할 수 없는 비밀,1013931200,145157,96,1137,0
간신,8925087910,1107273,2329,40212,0
홈,2641293791,353865,1298,9760,1
무뢰한,3168310531,402758,1176,22300,0
투모로우랜드,2037121600,259658,823,13572,0
피치 퍼펙트: 언프리티 걸즈,446309297,56590,297,3064,1
사이코패스,134494000,16595,69,463,0
샌 안드레아스,14405032352,1712507,2565,61776,0
은밀한 유혹,1135107247,145154,941,14900,0
령 : 저주받은 사진,265068253,34921,454,3761,0
쥬라기 월드,47757116026,5540864,4878,118671,1
꼬마 유령,74880900,10595,176,718,0
극비수사,22057268497,2816529,2733,63873,0
경성학교: 사라진 소녀들,2664519800,344923,955,17216,0
심야식당,862166074,108917,436,4563,1
소수의견,2806617405,372067,1041,15670,0
연평해전,45528952430,6036988,4795,114266,0
나의 절친 악당들,1025599164,129857,731,9366,0
19곰 테드 2,1259252300,155803,581,6483,0
터미네이터 제니시스,26488181129,3231238,3504,77394,0
리틀드래곤 코코넛,219166000,29257,209,867,0
라자루스,136174000,17102,88,659,0
인사이드 아웃,37809429136,4941734,4583,82897,0
손님,6373057080,826083,1469,23218,0
인시디어스 3,6391287220,824816,1457,20769,0
우먼 인 골드,743481900,96949,494,3998,0
러덜리스,213484820,26733,117,948,0
픽셀,5385516947,681203,1390,21242,0
쓰리 썸머 나잇,497276346,62162,297,3851,0
다크 플레이스,414500354,51192,268,2867,0
암살,98268589081,12679383,7424,174207,1
극장판 요괴워치: 탄생의 비밀이다냥!,3760122100,532699,1142,11197,0
미션 임파서블: 로그네이션,48475649507,6117472,4180,89066,0
미니언즈,18684093678,2582937,2763,40067,0
고녀석 맛나겠다2 : 함께라서 행복해,328756800,47079,276,1331,0
베테랑,105058481650,13397762,7310,198001,0
명탐정 코난 : 화염의 해바라기,2894683600,414680,780,6932,0
아마조니아,125853000,17319,105,507,0
"협녀, 칼의 기억",3238938889,415016,1007,14950,0
미쓰 와이프,7303443666,973822,1826,28091,0
숀더쉽,436218300,60188,263,1414,0
뷰티 인사이드,16045075631,2039642,2667,51680,0
판타스틱 4,2973845000,392325,873,15084,1
퇴마: 무녀굴,719331000,90057,331,3512,0
치외법권,2617960705,339763,860,14414,0
아메리칸 울트라,1010683095,123541,341,4796,0
앤트맨,23508796837,2838917,3154,74329,1
오피스,3330114630,423925,811,16359,0
갤로우즈,677551806,87647,552,4445,0
히트맨: 에이전트 47,356731600,44917,272,2598,1
함정,2048060900,252429,845,9924,1
셀프/리스,866331764,110077,671,6627,0
스트레이트 아웃 오브 컴턴,224148400,26255,185,1358,0
사도,48720690101,6229050,4813,123210,0
메이즈 러너: 스코치 트라이얼,21426614749,2721287,2524,57268,1
극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,359113500,49952,351,1712,0
탐정 : 더 비기닝,20417769573,2618883,2807,54341,0
인턴,28462896148,3602929,3924,81225,0
서부전선,4721155400,604384,1335,18554,0
에베레스트,2920003748,315823,650,8154,0
뮨: 달의 요정,2134654900,291260,900,5812,0
더 매직: 리틀톰과 도둑공주,573245000,77789,382,1818,0
마션,39605944295,4872780,5010,113746,1
성난 변호사,8695004139,1124137,1954,36563,0
팬,1383363192,180105,798,8487,1
트랜스포터: 리퓰드,1241478915,158174,840,9712,0
더 비지트,299883881,38395,279,2371,0
비밀,282541100,37750,305,2953,1
아델라인 : 멈춰진 시간,299944519,38771,473,3321,0
더 폰,12289697568,1590883,2522,53091,0
특종: 량첸살인기,4515042518,584474,1456,27421,0
돌연변이,721395384,96374,734,6440,0
그놈이다,7994624952,1031496,1723,36998,0
하늘을 걷는 남자,2176598753,227616,806,11266,0
맨 프롬 UNCLE,618089753,78767,361,4230,0
미안해 사랑해 고마워,258745500,36065,344,4335,0
검은 사제들,42374476592,5437772,5283,130922,0
스파이 브릿지,2025486478,261428,1085,12223,0
더 셰프,1413396848,177275,791,11509,0
아더와 미니모이 3: 두 세계의 전쟁,284045200,38915,267,1057,0
007 스펙터,13977002030,1778136,2690,49925,1
개구리왕국,297461000,42548,354,1654,0
내부자들,56573537557,7068121,6102,152348,1
헝거게임: 더 파이널,5774594963,766613,1639,25155,1
프리덤,258880300,35221,117,831,0
열정같은소리하고있네,4660029802,639549,1495,29235,1
도리화가,2140499839,300719,1023,18025,0
괴물의 아이,1290028816,173321,688,8230,0
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,369865400,50147,344,1565,0
크림슨 피크,260040800,31888,255,2501,0
하트 오브 더 씨,6758271223,806723,1553,28936,0
극적인 하룻밤,2602969929,319883,1152,18222,0
사우스포,506117748,64836,335,3444,0
시카리오: 암살자의 도시,881995452,109086,441,4945,0
뽀로로 극장판 컴퓨터 왕국 대모험,2654128400,357364,1215,10179,0
레전드,1423549930,178154,873,9893,1
보루토 - 나루토 더 무비,443832200,59715,408,2468,0
파더 앤 도터,363993200,46792,352,3547,0
히말라야,59912805715,7725579,5456,140399,0
스타워즈: 깨어난 포스,28010879831,3232797,3104,67178,0
대호,13138733332,1713936,2206,41787,0
몬스터 호텔 2,10649169276,1453449,1802,22602,0
어린왕자,3921659027,522232,937,10069,0
포켓몬 더 무비 XY 후파: 광륜의 초마신,1187585200,165058,360,2604,0
스누피: 더 피너츠 무비,917790500,117886,348,2255,1
내부자들: 디 오리지널,16860243775,2070126,3528,46538,1
셜록: 유령신부,9859391249,1261077,2151,31311,0
조선마술사,4534596127,612700,1094,16855,1
라스트 위치 헌터,809194800,105596,278,2857,0
굿 다이노,9709680738,1321866,2431,32519,0
나를 잊지 말아요,3317335200,414345,1078,17611,0
포인트 브레이크,2211233851,279450,816,10421,0
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,1236772900,169822,671,4770,0
레버넌트: 죽음에서 돌아온 자,15613976730,1946981,3164,52520,0
그날의 분위기,5086492612,644822,1496,26406,0
구스범스,2139368412,285903,976,11965,1
오빠생각,7995444887,1060103,2475,43870,0
빅쇼트,3228478307,399739,1245,15468,0
극장판 꼬마버스 타요의 에이스 구출작전,737752900,109815,356,4185,0
스티브 잡스,336402107,42317,384,3784,0
쿵푸팬더3,30722547056,3898675,4170,94303,0
"로봇, 소리",3451563960,466462,1417,23829,0
검사외전,76993070464,9664799,6181,149913,0
앨빈과 슈퍼밴드: 악동 어드벤처,1951230800,267023,760,7412,0
캐롤,2319109416,278978,792,9155,1
최강전사 미니특공대: 영웅의 탄생,823586500,109324,697,4133,0
극장판 아이엠스타 : 꿈의 오디션!,963904500,129907,430,3460,0
데드풀,27487391251,3303561,3457,80973,1
번개맨,406290100,53366,393,3141,0
좋아해줘,6478054037,835704,1623,26128,0
주토피아,37017403642,4695025,7484,130326,0
동주,8652077089,1138753,2550,37963,0
대니쉬 걸,432813984,53132,246,2239,0
빌리와 용감한 녀석들: 치킨 히어로,154614700,22234,241,1469,1
귀향,27145132890,3571853,4022,88692,0
순정,1307814933,182958,467,6976,1
남과 여,1561281633,192070,867,8902,0
스포트라이트,2157980087,269287,872,11115,0
제 5침공,670085400,87122,312,2530,1
갓 오브 이집트,7612161124,918591,1937,35117,0
13시간,1112921814,138624,739,8460,0
런던 해즈 폴른,5722999979,707068,1533,35013,0
널 기다리며,5136654136,622268,1493,32224,0
조이,1278053400,158926,785,11385,1
오 마이 그랜파,462892632,56754,396,5248,0
부활,1101515800,155828,476,6705,0
배트맨 대 슈퍼맨: 저스티스의 시작,18772638828,2240135,4771,93487,1
글로리데이,1360369368,172805,932,10457,0
일사각오,286797300,38359,53,565,0
대배우,1216534228,165401,907,15996,0
미스컨덕트,1111911938,145561,886,11472,0
포레스트: 죽음의 숲,311120862,40136,312,2828,0
나의 그리스식 웨딩 2,226457300,29922,327,3507,0
마음이 외치고 싶어해,264556000,32635,122,1608,0
"날, 보러와요",8744297090,1051559,2196,48001,0
클로버필드 10번지,2899583255,353969,1433,24103,1
독수리 에디,1688409420,211713,1013,15432,0
트럼보,262205800,33339,310,2596,0
비포 선라이즈,180057900,21832,142,1992,0
시간이탈자,9649606695,1191587,2450,53710,0
헌츠맨: 윈터스 워,3521920206,440739,1417,25641,0
해어화,3718412759,477636,1767,31800,0
인생은 아름다워,715126900,104031,417,5562,0
극장판 프랭키와 친구들: 생명의 나무,225958700,28654,258,1278,0
위대한 소원,2413501013,304044,1356,22320,0
파라노말 액티비티: 더 고스트 디멘션,376898800,45091,353,4171,0
트리플 9,309673300,39613,329,4232,0
캡틴 아메리카: 시빌 워,72462267727,8650500,6613,160301,1
냉정과 열정사이,307308500,38139,116,1486,0
시크릿 인 데어 아이즈,118847400,15633,186,1489,1
탐정 홍길동: 사라진 마을,11468466145,1424041,2380,40473,0
극장판 안녕 자두야,2015696000,263869,843,6726,0
매직브러시,1260054200,166678,673,5098,0
다이노소어 어드벤처 : 백악기 공룡대백과,818818700,106928,483,3298,0
다이노X 탐험대,586758100,75546,348,2408,0
곡성,55649423282,6853336,6330,128863,0
다이버전트 시리즈: 얼리전트,798248545,100714,744,7358,0
엽기적인 그녀 2,558560400,72027,773,5959,0
나의 소녀시대,3219586500,394229,871,11542,0
앵그리버드 더 무비,5066740444,660632,2055,15152,1
계춘할망,3381729248,449358,1464,18233,0
싱 스트리트,4254166172,525529,1635,21091,0
하드코어 헨리,331553756,37827,239,1910,0
엑스맨: 아포칼립스,24405393150,2930866,3470,66036,1
오베라는 남자,353429888,44179,245,2006,1
동급생,143589500,19788,86,602,0
아가씨,34642383891,4215263,4121,86158,1
미 비포 유,7068341790,870278,1813,25366,0
무서운 이야기 3 : 화성에서 온 소녀,567227700,70661,317,3953,0
더 보이,310636900,38814,186,1409,0
정글북,21469326234,2530983,3486,58538,0
워크래프트: 전쟁의 서막,9994848705,1144051,1842,32916,1
컨저링 2,15726315629,1924313,2783,45502,0
특별수사: 사형수의 편지,9596254265,1198197,1874,35554,0
닌자터틀 : 어둠의 히어로,1487683000,178591,517,7999,1
본 투 비 블루,419682700,49161,138,1643,0
인디펜던스 데이 : 리써전스,12679249940,1488492,2230,46347,0
비밀은 없다,1599899339,193706,502,8710,1
크리미널,603314681,74159,351,5009,0
굿바이 싱글,16880145895,2103766,2751,55827,0
레전드 오브 타잔,7168051117,854460,1538,27624,1
사냥,4847135715,637081,1268,27410,1
봉이 김선달,16179594942,2043660,2837,51238,0
도리를 찾아서,20439352233,2564991,3487,54149,0
나우 유 씨 미 2,25086637413,3096296,3474,56807,0
부산행,92914170048,11531866,6713,148922,0
언더 워터,3095164591,382478,1221,12922,0
트릭,239293500,30622,390,4536,0
데몰리션,207950121,25229,196,1665,0
아이스 에이지: 지구 대충돌,4049289100,547390,1416,12768,0
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2005984380,265728,748,5463,0
나의 산티아고,288217700,36786,88,823,0
BIFAN2016 판타스틱 단편 걸작선 1,129000000,21500,5,105,0
인천상륙작전,54993437503,7033357,4262,95429,0
제이슨 본,20657824563,2539270,2056,37391,0
빅,858616060,115083,332,2742,1
덕혜옹주,44155083009,5568719,4376,95360,0
수어사이드 스쿼드,15750215888,1882718,1842,28671,1
마이펫의 이중생활,19359039355,2514105,2810,38948,0
명탐정 코난: 순흑의 악몽,3393969900,459210,787,6835,0
터널,57179520517,7076050,4476,110238,0
국가대표 2,5025995742,645363,1079,16626,0
슈퍼 프렌즈,429475700,56102,255,1513,0
스타트렉 비욘드,9951795920,1127332,1786,36194,0
서울역,967143500,121578,440,5156,0
마이 리틀 자이언트,795867000,100675,126,1107,0
라이트 아웃,8652171775,1081038,1693,31957,0
고스트버스터즈,3827006375,479470,970,14790,0
플로렌스,710449600,89966,382,4772,0
올레,405224400,50358,338,3109,0
메카닉: 리크루트,4169110500,516530,611,14961,0
이퀄스,425086300,56266,357,4415,0
밀정,60973761431,7458824,5521,133739,0
"고산자, 대동여지도",7637324058,949563,1880,35868,0
거울나라의 앨리스,4072112367,502798,1318,18480,1
달빛궁궐,1047417000,138081,734,4860,0
장난감이 살아있다,1026616000,131232,519,3531,0
로빈슨 크루소,885628900,114860,564,3177,0
벤허,11333530995,1388980,2216,38021,1
매그니피센트 7,7614973421,918835,1558,27415,0
드림 쏭,1612654000,204625,713,5054,1
아이엠스타 뮤직어워드,417672800,61382,358,2365,0
아이 엠 어 히어로,1712295000,201145,484,7336,1
브리짓 존스의 베이비,6547882674,803928,2091,29516,1
설리: 허드슨강의 기적,5096553654,607841,1935,25216,0
카페 소사이어티,790550638,94240,188,2272,0
아수라,20457659662,2577172,3095,66014,1
미스 페레그린과 이상한 아이들의 집,21739035886,2705153,3467,69326,0
피터와 드래곤,707852100,88276,330,3779,0
맨 인 더 다크,8342437272,986332,1960,38371,0
럭키,56402083256,6969184,6580,155351,0
죽여주는 여자,623939000,83937,628,5949,0
바스티유 데이,745548100,93632,819,9584,0
어카운턴트,536050928,67709,735,6715,0
자백,853383200,108802,381,4459,0
인페르노,5547604303,675249,1864,30624,1
걷기왕,629010075,82266,864,9555,0
닥터 스트레인지,47403207196,5436233,5785,162269,0
혼숨,2142233921,273028,936,12292,0
"무현, 두 도시 이야기",1371982900,174356,520,7534,0
쿠보와 전설의 악기,111273883,16254,100,1072,0
로스트 인 더스트,584393322,74630,689,6556,0
선생님의 일기,345194700,51217,163,3567,0
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,476388700,60786,660,3424,0
무한대를 본 남자,182936654,23069,309,2851,0
스플릿,6020588339,746692,1849,31325,0
위자: 저주의 시작,2503223106,313861,876,13528,0
감바의 대모험,698976000,91968,659,3534,0
세상에서 고양이가 사라진다면,332846300,48438,175,2344,0
신비한 동물사전,39224573258,4652626,5241,115415,1
가려진 시간,3920911900,506877,1959,30089,0
하이큐!! 끝과 시작,355832500,49187,130,1360,0
카페 6,141095600,20906,126,1539,1
형,23086833893,2975602,3765,83138,1
블레어 위치,309986100,38525,172,2400,0
리틀메딕: 몸속탐험대,489328900,62799,500,2207,0
미스 사이공 : 25주년 특별 공연,639706600,33104,194,1301,0
미씽: 사라진 여자,8783413956,1139535,2065,39417,0
잭 리처: 네버 고 백,4497158958,591883,1283,22146,1
언더월드: 블러드 워,560193700,71088,348,4807,0
두 남자,383746721,49954,397,5390,0
판도라,35802263464,4545686,4692,98137,0
라라랜드,29674238694,3552086,5329,85931,0
아기배달부 스토크,2417357900,319473,1283,9246,0
원피스 필름 골드,1630319800,205900,781,6003,0
"당신, 거기 있어줄래요",9165307248,1143445,2120,39752,0
목숨 건 연애,284751000,37650,393,4346,0
스노우타임,164013200,21676,259,958,0
마스터,57946651365,7133595,5488,125534,0
씽,13122174189,1710057,2697,35688,0
포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,1821568800,238452,838,4968,0
극장판 도라에몽: 신 진구의 버스 오브 재팬,337881900,43229,282,1333,0
로그 원: 스타워즈 스토리,8693148594,979088,1666,30247,0
루돌프와 많이있어,926773600,119420,375,2304,0
너의 이름은.,28628397656,3554657,3883,76316,0
하이큐!! 승자와 패자,160576500,22733,103,862,0
패신저스,5368943318,654883,1158,20106,0
눈의 여왕 3: 눈과 불의 마법대결,2567049200,346092,986,9429,1
사랑하기 때문에,2596789740,329548,1040,14204,0
여교사,718495760,86439,393,4068,0
모아나,17710081507,2264365,3637,51346,0
얼라이드,4117861079,499678,1378,18895,0
어쌔신 크리드,2871166721,352139,1112,15610,1
더 킹,43152675735,5271641,4349,104902,1
공조,63621717026,7796328,6039,141641,0
터닝메카드W: 블랙미러의 부활,3164075300,422855,1400,13362,0
반지의 제왕 : 두개의 탑 ,257843500,20174,58,424,1
레지던트 이블: 파멸의 날,5969029265,708002,1175,19801,1
딥워터 호라이즌,531162743,68381,433,4278,0
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,890251200,116961,663,4122,0
컨택트,4646808721,563991,1163,19517,1
라이언,476148900,59439,205,3237,1
조작된 도시,19979706387,2492389,3182,60229,1
트리플 엑스 리턴즈,3892085595,465273,1136,19696,0
50가지 그림자: 심연,1457114300,173351,852,8149,1
발레리나,1186421300,157498,787,4584,0
명탐정 코난: 에피소드 원-작아진 명탐정,641814600,81707,215,2037,0
레고 배트맨 무비,858695005,105962,427,2606,1
재심,19227864637,2415253,3426,67715,0
그레이트 월,4265161858,488683,1145,21975,0
트롤,4963625800,669262,1847,17821,0
더 큐어,1066663300,126456,419,5486,0
마이펫 오지,484126450,63703,393,2480,0
23 아이덴티티,13595005635,1673890,2639,43803,0
싱글라이더,2592571721,338663,1117,15597,0
존 윅 - 리로드,2017288600,247687,488,8830,0
핵소 고지,933424000,121682,442,5606,0
루시드 드림,634084700,85247,461,6629,0
로건,18287659823,2155751,3187,67675,1
해빙,9854927322,1197869,2187,44924,0
눈길,899737200,118820,917,8522,0
문라이트,1138702995,141070,371,4144,1
콩: 스컬 아일랜드,13985192883,1688976,2838,56241,0
파도가 지나간 자리,533261100,68026,551,4629,1
비정규직 특수요원,1127444200,146802,950,10887,1
스페이스 비트윈 어스,173597361,22200,370,3311,0
프리즌,23707433787,2920530,3910,87354,0
보통사람,2839343823,366697,1188,17990,1
히든 피겨스,3420399933,428291,1670,18743,0
밤의 해변에서 혼자,314676800,40725,262,2623,0
극장판 암살교실 : 365일의 시간,138380500,18560,98,620,0
공각기동대 : 고스트 인 더 쉘,6237934884,757594,1981,35728,0
원라인,3290877933,430116,1513,20306,0
데스노트: 더 뉴 월드,175410963,22822,309,2369,1
미스 슬로운,173477500,22194,104,1240,0
라이프,3774163310,457539,1638,27460,0
어느날,1748062882,220707,1000,15811,1
시간위의 집,996676800,125702,866,10292,0
패트리어트 데이,468198618,58122,375,3937,0
슈퍼 버드,135091800,18039,288,1119,0
분노의 질주: 더 익스트림,29925352048,3645767,5204,112586,1
아빠는 딸,4932670495,629652,1640,32097,1
파워레인져스: 더 비기닝,493400961,62029,479,5515,0
오두막,375182500,49328,771,4748,1
파운더,161891100,19866,288,2046,0
특별시민,10293045945,1334084,2288,43866,0
임금님의 사건수첩,12632234223,1631220,3064,52777,0
스머프: 비밀의 숲,3077623600,420615,1391,10232,0
극장판 또봇: 로봇군단의 습격,985736600,128099,418,3217,0
"서서평, 천천히 평온하게",300361300,40346,234,1344,0
극장판 쿠로코의 농구 라스트 게임,112320000,14730,96,789,0
가디언즈 오브 갤럭시 VOL. 2,23350962286,2722323,3351,62989,0
보안관,20759142509,2575570,3282,62584,0
보스 베이비,18800497204,2432721,3476,47720,0
슈퍼 빼꼼: 스파이 대작전,557076200,77067,358,2227,0
에이리언: 커버넌트,10662276364,1296444,2106,41055,0
석조저택 살인사건,2772559986,346044,997,17062,0
목소리의 형태,2038696914,258840,884,9714,0
킹 아서: 제왕의 검,3321508455,408198,1376,19293,0
겟 아웃,17184295075,2105869,2790,54392,0
불한당: 나쁜 놈들의 세상,7336751625,908271,2113,36726,0
캐리비안의 해적: 죽은 자는 말이 없다,24893975922,3039593,4103,84737,1
노무현입니다,14470366712,1842323,3537,60591,0
너와 100번째 사랑,467754300,59146,262,2766,0
원더 우먼,17291842186,2141574,3028,56470,1
대립군,6171673502,815757,1886,28577,0
베이블레이드 버스트 갓 : 갓 발키리의 탄생,779437900,103135,385,2335,0
7번째 내가 죽던 날,198539500,25947,230,1902,0
미이라,30434691978,3678083,4016,104210,0
악녀,9630308344,1192888,2451,44195,0
바다 탐험대 옥토넛 시즌4: 더 파이널,401670500,61644,167,1220,0
하루,9060589342,1127764,2523,45479,0
나의 붉은고래,353957500,45432,390,3745,0
꼬마참새 리차드: 아프리카 원정대,254345600,33477,319,1258,0
꼬마돼지 베이브의 대모험,158275700,21755,312,1165,0
트랜스포머: 최후의 기사,21447319228,2607123,4467,86340,0
더 서클,559162900,68616,330,5191,0
다크 하우스,239245000,28965,278,2001,0
언더더씨,173810300,22351,163,798,0
박열,17962255495,2338871,3590,76785,0
리얼,3229013230,448430,1605,23771,1
옥자,2034564900,268452,308,5356,0
지랄발광 17세,565169100,71400,205,4241,0
스파이더맨: 홈 커밍,58990707420,7240766,6755,163773,1
헤드윅,246984131,31740,90,842,0
카3: 새로운 도전,3496069301,472712,1732,14499,0
플립,2776949100,349297,777,12825,1
예수는 역사다,974834300,135885,563,3964,0
택시운전사,95786348149,12176753,8329,182967,0
덩케르크,23760326548,2716807,3529,64659,0
47 미터,4559567257,572901,1366,19227,0
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2300546700,316654,1224,6996,0
오즈: 신기한 마법가루,409389500,54998,343,1508,0
군함도,50291706468,6554420,5222,107620,0
슈퍼배드 3,24098141119,3307911,3652,58422,0
명탐정 코난:진홍의 연가,3003959900,414156,1038,8680,0
이모티: 더 무비,207360400,28250,134,1153,0
청년경찰,44274279516,5638636,4799,116621,0
애나벨 : 인형의 주인,15238014464,1897937,2411,32854,0
빅풋 주니어,2117540100,300223,1034,7158,0
극장판 도라에몽: 진구의 남극 꽁꽁 대모험,1093987100,153618,673,3657,0
파리로 가는 길,422704900,53208,77,802,0
혹성탈출: 종의 전쟁,16746601378,2036947,2270,43274,1
장산범,10193613283,1286804,1918,32255,0
공범자들,1634900300,206599,699,6983,0
브이아이피,10899698535,1364953,2437,43473,0
다크타워: 희망의 탑,637303875,80298,497,6131,1
킬러의 보디가드,13949327800,1709712,1831,40757,0
발레리안: 천 개 행성의 도시,3899422008,491321,1199,20721,1
아토믹 블론드,1144267058,150895,892,11794,1
로마의 휴일,829113076,111457,436,7716,0
살인자의 기억법,21109814192,2622858,3533,87217,0
그것,7211516107,872909,2006,34280,1
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,930665600,120878,396,3216,0
저수지 게임,744320200,93661,571,4905,0
베이비 드라이버,6533886214,801579,1985,39731,0
아메리칸 메이드,3065282145,385861,1304,24022,0
몬스터 콜,592161000,75100,677,6072,1
아이 캔 스피크,25403581386,3258260,4600,92300,0
인비저블 게스트,656899100,81574,445,4065,0
잃어버린 도시 Z,280893440,35565,398,4280,0
킹스맨: 골든 서클,40806477436,4922079,4655,94325,1
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,1554200800,211374,1169,5971,0
레고 닌자고 무비,1062048800,143354,912,4322,0
김광석,654930100,82945,129,1074,0
남한산성,31068730392,3826223,3524,69332,0
